x,y,z
96,70.60000610351562,a
98,70.60000610351562,a
99,71.60000610351562,a
102,72.60000610351562,a
106,74.60000610351562,a
110,75.60000610351562,a
118,78.60000610351562,a
125,79.60000610351562,a
133,83.60000610351562,a
139,86.60000610351562,a
146,88.60000610351562,a
149,90.60000610351562,a
152,91.60000610351562,a
155,93.60000610351562,a
159,93.60000610351562,a
165,96.60000610351562,a
171,99.60000610351562,a
179,103.60000610351562,a
184,106.60000610351562,a
191,111.60000610351562,a
196,115.60000610351562,a
203,120.60000610351562,a
208,123.60000610351562,a
216,129.60000610351562,a
222,131.60000610351562,a
234,139.60000610351562,a
243,146.60000610351562,a
250,151.60000610351562,a
259,159.60000610351562,a
271,167.60000610351562,a
287,178.60000610351562,a
296,184.60000610351562,a
306,191.60000610351562,a
318,200.60000610351562,a
326,205.60000610351562,a
340,213.60000610351562,a
354,222.60000610351562,a
365,229.60000610351562,a
371,233.60000610351562,a
379,238.60000610351562,a
385,242.60000610351562,a
391,249.60000610351562,a
401,254.60000610351562,a
409,260.6000061035156,a
417,265.6000061035156,a
425,270.6000061035156,a
437,279.6000061035156,a
443,284.6000061035156,a
454,293.6000061035156,a
464,301.6000061035156,a
474,309.6000061035156,a
482,314.6000061035156,a
488,318.6000061035156,a
493,321.6000061035156,a
501,326.6000061035156,a
507,330.6000061035156,a
512,334.6000061035156,a
517,337.6000061035156,a
520,340.6000061035156,a
526,342.6000061035156,a
531,346.6000061035156,a
535,350.6000061035156,a
543,354.6000061035156,a
551,359.6000061035156,a
556,364.6000061035156,a
562,368.6000061035156,a
563,370.6000061035156,a
568,372.6000061035156,a
572,375.6000061035156,a
575,377.6000061035156,a
580,380.6000061035156,a
586,384.6000061035156,a
591,386.6000061035156,a
594,389.6000061035156,a
603,394.6000061035156,a
606,397.6000061035156,a
611,401.6000061035156,a
615,402.6000061035156,a
619,404.6000061035156,a
623,406.6000061035156,a
625,408.6000061035156,a
626,410.6000061035156,a
628,411.6000061035156,a
631,412.6000061035156,a
631,413.6000061035156,a
633,414.6000061035156,a
635,414.6000061035156,a
98,66.60000610351562,b
99,67.60000610351562,b
100,70.60000610351562,b
102,71.60000610351562,b
103,75.60000610351562,b
105,77.60000610351562,b
107,81.60000610351562,b
107,82.60000610351562,b
108,84.60000610351562,b
109,84.60000610351562,b
109,85.60000610351562,b
109,86.60000610351562,b
110,86.60000610351562,b
111,86.60000610351562,b
112,89.60000610351562,b
113,90.60000610351562,b
115,93.60000610351562,b
115,94.60000610351562,b
118,95.60000610351562,b
118,97.60000610351562,b
119,98.60000610351562,b
119,100.60000610351562,b
120,102.60000610351562,b
122,105.60000610351562,b
123,106.60000610351562,b
124,107.60000610351562,b
126,109.60000610351562,b
127,110.60000610351562,b
129,113.60000610351562,b
131,116.60000610351562,b
132,118.60000610351562,b
133,119.60000610351562,b
135,122.60000610351562,b
136,125.60000610351562,b
137,127.60000610351562,b
139,129.60000610351562,b
140,131.60000610351562,b
142,132.60000610351562,b
142,135.60000610351562,b
142,136.60000610351562,b
143,137.60000610351562,b
143,139.60000610351562,b
144,139.60000610351562,b
146,142.60000610351562,b
147,142.60000610351562,b
147,145.60000610351562,b
148,146.60000610351562,b
149,146.60000610351562,b
150,148.60000610351562,b
151,149.60000610351562,b
152,150.60000610351562,b
155,152.60000610351562,b
155,154.60000610351562,b
159,157.60000610351562,b
161,158.60000610351562,b
162,159.60000610351562,b
164,160.60000610351562,b
167,162.60000610351562,b
171,163.60000610351562,b
177,167.60000610351562,b
181,169.60000610351562,b
187,171.60000610351562,b
191,173.60000610351562,b
195,174.60000610351562,b
198,174.60000610351562,b
201,176.60000610351562,b
206,176.60000610351562,b
210,177.60000610351562,b
212,177.60000610351562,b
216,177.60000610351562,b
217,177.60000610351562,b
221,177.60000610351562,b
223,177.60000610351562,b
225,177.60000610351562,b
232,172.60000610351562,b
237,167.60000610351562,b
239,165.60000610351562,b
241,158.60000610351562,b
243,154.60000610351562,b
243,147.60000610351562,b
243,139.60000610351562,b
243,131.60000610351562,b
243,123.60000610351562,b
243,117.60000610351562,b
243,112.60000610351562,b
243,109.60000610351562,b
243,107.60000610351562,b
